Date,US International Investment
2010-01-01,-2769046
2010-04-01,-3180635
2010-07-01,-2746288
2010-10-01,-2511072
2011-01-01,-2638416
2011-04-01,-2785304
2011-07-01,-4134034
2011-10-01,-4454616
2012-01-01,-4604772
2012-04-01,-5259919
2012-07-01,-5000197
2012-10-01,-4569528
2013-01-01,-5094143
2013-04-01,-5527281
2013-07-01,-4994325
2013-10-01,-5443587
2014-01-01,-5503555
2014-04-01,-5490052
2014-07-01,-6206947
2014-10-01,-7021188
2015-01-01,-6960663
2015-04-01,-6874739
2015-07-01,-7427021
2015-10-01,-7590470
2016-01-01,-7886675
2016-04-01,-8340977
2016-07-01,-8104523
2016-10-01,-8258387
2017-01-01,-8091781
2017-04-01,-7959439
2017-07-01,-7743743
2017-10-01,-7830723
2018-01-01,-7944390
2018-04-01,-8915229
2018-07-01,-9668234
2018-10-01,-9795821
2019-01-01,-10349908
2019-04-01,-10738701
2019-07-01,-11520386
2019-10-01,-11666440
2020-01-01,-12608703
2020-04-01,-13599447
2020-07-01,-14460621
2020-10-01,-14721004
2021-01-01,-15013438
2021-04-01,-16064716
2021-07-01,-16406919
2021-10-01,-18783160
2022-01-01,-18341233
2022-04-01,-16660685
2022-07-01,-16813129
2022-10-01,-16172308
2023-01-01,-16736009
2023-04-01,-17997673
