Date,US_Exports
2010-01-01,443647
2010-04-01,457151
2010-07-01,473157
2010-10-01,498366
2011-01-01,515237
2011-04-01,534589
2011-07-01,547836
2011-10-01,545890
2012-01-01,556021
2012-04-01,561715
2012-07-01,562896
2012-10-01,566821
2013-01-01,572575
2013-04-01,573361
2013-07-01,577079
2013-10-01,590106
2014-01-01,590406
2014-04-01,600988
2014-07-01,602540
2014-10-01,598681
2015-01-01,578451
2015-04-01,576516
2015-07-01,568079
2015-10-01,557732
2016-01-01,546038
2016-04-01,556124
2016-07-01,569082
2016-10-01,569580
2017-01-01,588141
2017-04-01,589560
2017-07-01,597341
2017-10-01,619434
2018-01-01,630980
2018-04-01,641255
2018-07-01,635787
2018-10-01,634441
2019-01-01,637695
2019-04-01,637620
2019-07-01,635569
2019-10-01,635392
2020-01-01,604834
2020-04-01,455671
2020-07-01,529749
2020-10-01,569893
2021-01-01,601744
2021-04-01,629042
2021-07-01,644740
2021-10-01,691501
2022-01-01,711325
2022-04-01,766462
2022-07-01,782107
2022-10-01,758561
2023-01-01,769219
2023-04-01,744901
