Date,GDP Uncertainty
2010-01-01,112.01123851731997
2010-02-01,110.69273346535616
2010-03-01,106.45739224563177
2010-04-01,102.70145973648545
2010-05-01,147.1221591836064
2010-06-01,132.70356804814264
2010-07-01,140.74750761173786
2010-08-01,120.21159672269025
2010-09-01,131.7744167735626
2010-10-01,120.97602712551684
2010-11-01,126.18939782150336
2010-12-01,128.74737424537932
2011-01-01,110.12691803089344
2011-02-01,93.831398865371
2011-03-01,125.144373542492
2011-04-01,114.53465598014084
2011-05-01,88.45425231454722
2011-06-01,116.43989436807064
2011-07-01,154.59242589333385
2011-08-01,213.4232795442136
2011-09-01,188.71091810923727
2011-10-01,163.75081429515595
2011-11-01,195.65159835275225
2011-12-01,178.41242695517258
2012-01-01,158.59301431971664
2012-02-01,141.78382382110192
2012-03-01,134.14478253530572
2012-04-01,126.24330460333204
2012-05-01,158.3064620150811
2012-06-01,186.7425389405451
2012-07-01,158.3690545752583
2012-08-01,122.33331663676486
2012-09-01,151.15269046899303
2012-10-01,157.34894519655649
2012-11-01,172.37933787516383
2012-12-01,167.93441635314667
2013-01-01,166.87309180757492
2013-02-01,124.94910293135422
2013-03-01,141.66107078585188
2013-04-01,134.74567039751162
2013-05-01,106.52587599660517
2013-06-01,119.99064120660144
2013-07-01,107.7704361167036
2013-08-01,119.02408635736046
2013-09-01,132.40331825105596
2013-10-01,156.59636286944271
2013-11-01,96.04671226044276
2013-12-01,117.82833141528732
2014-01-01,110.87354239012784
2014-02-01,98.15259826286449
2014-03-01,113.97080903972451
2014-04-01,101.1326817970275
2014-05-01,103.8561588929226
2014-06-01,86.69756711237717
2014-07-01,93.09090873749273
2014-08-01,99.05810217384446
2014-09-01,123.64806498246251
2014-10-01,119.22446667588932
2014-11-01,112.86499827631155
2014-12-01,111.32080680559883
2015-01-01,134.36299907005238
2015-02-01,111.55775862576635
2015-03-01,103.8298702866926
2015-04-01,101.52394466921412
2015-05-01,105.98587483949208
2015-06-01,117.38524440470312
2015-07-01,128.26272362233274
2015-08-01,130.13006520933345
2015-09-01,171.7061047362768
2015-10-01,123.81816527390744
2015-11-01,101.50916094148572
2015-12-01,112.2466724407606
2016-01-01,148.9276259076365
2016-02-01,154.1962289956713
2016-03-01,165.29801255811307
2016-04-01,144.14955534582523
2016-05-01,131.76292444393206
2016-06-01,238.82351463559456
2016-07-01,232.34104985665596
2016-08-01,142.98080494109763
2016-09-01,147.63230365235498
2016-10-01,132.65207877540809
2016-11-01,243.3849631697496
2016-12-01,215.30788389552805
2017-01-01,257.9060129781885
2017-02-01,196.12066264542608
2017-03-01,231.29123029917432
2017-04-01,177.75837503936705
2017-05-01,163.65289633758792
2017-06-01,168.5942697529446
2017-07-01,147.05780039512314
2017-08-01,140.05513367541909
2017-09-01,156.07547286917242
2017-10-01,147.72230996319783
2017-11-01,154.9105021414286
2017-12-01,148.00211983171516
2018-01-01,150.54739100207132
2018-02-01,124.12660298522988
2018-03-01,166.58411132264152
2018-04-01,155.274971875759
2018-05-01,173.61058112026956
2018-06-01,176.18967455394088
2018-07-01,219.9729962150994
2018-08-01,178.049396429021
2018-09-01,193.099625682452
2018-10-01,218.2130405030697
2018-11-01,242.8449375617342
2018-12-01,266.060055560505
2019-01-01,258.3925146453549
2019-02-01,203.72647462911408
2019-03-01,247.3127528779236
2019-04-01,189.2479919559607
2019-05-01,236.2083898272848
2019-06-01,310.39122944488497
2019-07-01,255.86094498145545
2019-08-01,307.46772191267274
2019-09-01,268.8339727835345
2019-10-01,253.497815361809
2019-11-01,248.6026376760545
2019-12-01,260.84289608444
2020-01-01,222.57012901993585
2020-02-01,227.44286996320852
2020-03-01,354.1355777384681
2020-04-01,354.95009289657673
2020-05-01,426.1869978205652
2020-06-01,325.03853940756227
2020-07-01,348.7810998279316
2020-08-01,299.1457996211861
2020-09-01,288.5241625154595
2020-10-01,303.9664780153572
2020-11-01,361.5783414491302
2020-12-01,292.24281627485027
2021-01-01,276.8327299115955
2021-02-01,214.02840427889632
2021-03-01,213.0585769139734
2021-04-01,196.490929549838
2021-05-01,188.91824271065497
2021-06-01,177.09133708330444
2021-07-01,203.8449697265428
2021-08-01,212.98384221925076
2021-09-01,203.3637193832381
2021-10-01,192.3571818209704
2021-11-01,224.8158209932399
2021-12-01,261.4710608097026
2022-01-01,229.03534622566048
2022-02-01,189.05820436070223
2022-03-01,323.910516245924
2022-04-01,298.81450899764474
2022-05-01,286.28834298371726
2022-06-01,272.0773605649309
2022-07-01,312.5251473585457
2022-08-01,254.38414046163973
2022-09-01,279.41774695641175
2022-10-01,296.595676461548
2022-11-01,327.85324280227474
2022-12-01,257.23076198405766
2023-01-01,248.3508416305941
2023-02-01,243.23907099566932
2023-03-01,311.6901790495419
2023-04-01,231.53609564305276
2023-05-01,227.63927215719696
2023-06-01,230.39163831652203
2023-07-01,227.3805193353164
2023-08-01,212.7818093968256
2023-09-01,237.35814835989208
